id,name,phase,indication,crossover,output_type,protocol,sap,created,last_updated,description,molecule,
691,NCT03192215,Phase 3,Stroke,0,,Protocol NCT03182907v1.0.doc,Statitical Analysis PlanNCT03182907v1.0.doc,2019-04-06 00:26:44,2019-04-06 00:26:44,Bezlotoxumab (MK-6072) Versus Placebo in Children With Clostridium Difficile Infection (CDI) (MK-6072-001),92,
690,NCT03203447,Phase 3,Macular Edema|Retinal Vein Occlusion,0,,Protocol NCT03192215v1.0.doc,Statitical Analysis PlanNCT03192215v1.0.doc,2019-04-06 00:26:44,2019-04-06 00:26:44,AtRial Cardiopathy and Antithrombotic Drugs In Prevention After Cryptogenic Stroke,91,
689,NCT03681184,Phase 3,Primary Hyperoxaluria Type 1 (PH1),0,,Protocol NCT03203447v1.0.doc,Statitical Analysis PlanNCT03203447v1.0.doc,2019-04-06 00:26:44,2019-04-06 00:26:44,Suprachoroidal Injection of Triamcinolone Acetonide With IVT Anti-VEGF in Subjects With Macular Edema Following RVO,90,
688,NCT03687255,Phase 3,Urinary Tract Infections,0,,Protocol NCT03681184v1.0.doc,Statitical Analysis PlanNCT03681184v1.0.doc,2019-04-06 00:26:44,2019-04-06 00:26:44,A Study to Evaluate Lumasiran in Children and Adults With Primary Hyperoxaluria Type 1,89,
687,NCT03399786,Phase 3,Homozygous Familial Hypercholesterolemia,0,,Protocol NCT03687255v1.0.doc,Statitical Analysis PlanNCT03687255v1.0.doc,2019-04-06 00:26:44,2019-04-06 00:26:44,Safety and Efficacy Study of Cefepime-AAI101 in the Treatment of Complicated Urinary Tract Infections,88,
686,NCT03403205,Phase 3,Wilson Disease,0,,Protocol NCT03399786v1.0.doc,Statitical Analysis PlanNCT03399786v1.0.doc,2019-04-06 00:26:44,2019-04-06 00:26:44,Efficacy and Safety of Evinacumab in Patients With Homozygous Familial Hypercholesterolemia,87,
685,NCT03263494,Phase 3,Type 1 Diabetes Mellitus,0,,Protocol NCT03403205v1.0.doc,Statitical Analysis PlanNCT03403205v1.0.doc,2019-04-06 00:26:44,2019-04-06 00:26:44,Efficacy and Safety of WTX101 Administered for 48 Weeks Versus Standard of Care in Wilson Disease Subjects,86,
684,NCT03263026,Phase 3,Diffuse Large B-Cell Lymphoma,1,,Protocol NCT03263494v1.0.doc,Statitical Analysis PlanNCT03263494v1.0.doc,2019-04-06 00:26:44,2019-04-06 00:26:44,CGM Intervention in Teens and Young Adults With Type 1 Diabetes (T1D),85,
683,NCT03283085,Phase 3,Crohn's Disease|Ulcerative Colitis,0,,Protocol NCT03263026v1.0.doc,Statitical Analysis PlanNCT03263026v1.0.doc,2019-04-06 00:26:44,2019-04-06 00:26:44,Study to Assess Enzastaurin + R-CHOP in Subjects With DLBCL With the Genomic Biomarker DGM1™,84,
682,NCT03286842,Phase 3,HER2-ve Metastatic Breast Cancer|Germline BRCA1/2 Mutations|Somatic BRCA1/2 Mutations,0,,Protocol NCT03283085v1.0.doc,Statitical Analysis PlanNCT03283085v1.0.doc,2019-04-06 00:26:44,2019-04-06 00:26:44,A Safety Extension Study of SHP647 in Subjects With Moderate to Severe Ulcerative Colitis or Crohn's Disease (AIDA),83,
681,NCT03290781,Phase 3,Ulcerative Colitis,0,,Protocol NCT03286842v1.0.doc,Statitical Analysis PlanNCT03286842v1.0.doc,2019-04-06 00:26:44,2019-04-06 00:26:44,To Study Clinical Effectiveness and Safety of Olaparib Monotherapy in Metastatic Breast Cancer Patients.,82,
680,NCT03296813,Phase 3,Heart Failure,0,,Protocol NCT03290781v1.0.doc,Statitical Analysis PlanNCT03290781v1.0.doc,2019-04-06 00:26:44,2019-04-06 00:26:44,An Efficacy and Safety Study of SHP647 as Maintenance Therapy in Participants With Moderate to Severe Ulcerative Colitis,81,
679,NCT03371017,Phase 3,Triple Negative Breast Neoplasms,0,,Protocol NCT03296813v1.0.doc,Statitical Analysis PlanNCT03296813v1.0.doc,2019-04-06 00:26:44,2019-04-06 00:26:44,TRANSFORM-HF: ToRsemide compArisoN With furoSemide FORManagement of Heart Failure,80,
678,NCT03304054,Phase 3,"Myasthenia Gravis, Generalized",0,,Protocol NCT03371017v1.0.doc,Statitical Analysis PlanNCT03371017v1.0.doc,2019-04-06 00:26:44,2019-04-06 00:26:44,A Study of the Efficacy and Safety of Atezolizumab Plus Chemotherapy for Patients With Early Relapsing Recurrent Triple-Negative Breast Cancer,79,
677,NCT03306264,Phase 3,Myelodysplastic Syndromes|Chronic Myelomonocytic Leukemia,0,,Protocol NCT03304054v1.0.doc,Statitical Analysis PlanNCT03304054v1.0.doc,2019-04-06 00:26:44,2019-04-06 00:26:44,Study to Evaluate Amifampridine Phosphate in Patients With MuSK-MG,78,
676,NCT03494504,Phase 3,Allergic Conjunctivitis,0,,Protocol NCT03306264v1.0.doc,Statitical Analysis PlanNCT03306264v1.0.doc,2019-04-06 00:26:44,2019-04-06 00:26:44,Study of ASTX727 vs IV Decitabine in MDS and CMML,77,
675,NCT03500094,Phase 3,Fabry Disease,0,,Protocol NCT03494504v1.0.doc,Statitical Analysis PlanNCT03494504v1.0.doc,2019-04-06 00:26:44,2019-04-06 00:26:44,ALLEVIATE Trial - A Phase 3 Trial in Subjects With Allergic Conjunctivitis,76,
674,NCT03312907,Phase 3,Systemic Lupus Erythematosus,0,,Protocol NCT03500094v1.0.doc,Statitical Analysis PlanNCT03500094v1.0.doc,2019-04-06 00:26:44,2019-04-06 00:26:44,"Safety, Pharmacokinetics, Pharmacodynamics, and Efficacy of Migalastat in Pediatric Subjects (Aged 12 to <18 Years)",75,
673,NCT03319849,Phase 3,Macular Telangiectasia Type 2,0,,Protocol NCT03312907v1.0.doc,Statitical Analysis PlanNCT03312907v1.0.doc,2019-04-06 00:26:44,2019-04-06 00:26:44,A Study to Evaluate the Efficacy and Safety of Belimumab Administered in Combination With Rituximab to Adult Subjects With Systemic Lupus Erythematosus (SLE) - BLISS-BELIEVE,74,
672,NCT03334253,Phase 3,Myopia,0,,Protocol NCT03319849v1.0.doc,Statitical Analysis PlanNCT03319849v1.0.doc,2019-04-06 00:26:44,2019-04-06 00:26:44,A Study to Determine the Safety and Efficacy of Renexus® in Macular Telangiectasia Type 2,73,
671,NCT03510897,Phase 3,Cardiac Surgery,0,,Protocol NCT03334253v1.0.doc,Statitical Analysis PlanNCT03334253v1.0.doc,2019-04-06 00:26:44,2019-04-06 00:26:44,Low-Dose Atropine for Treatment of Myopia,72,
670,NCT03512314,Phase 3,XIAP Deficiency|NLRC4-MAS,0,,Protocol NCT03510897v1.0.doc,Statitical Analysis PlanNCT03510897v1.0.doc,2019-04-06 00:26:44,2019-04-06 00:26:44,QPI-1002 Phase 3 for Prevention of Major Adverse Kidney Events (MAKE) in Subjects at High Risk for AKI Following Cardiac Surgery,71,
669,NCT03329092,Phase 3,Complicated Intra-abdominal Infection|Hosptial Acquired Pneumonia|Ventilator Associated Pneumonia,0,,Protocol NCT03512314v1.0.doc,Statitical Analysis PlanNCT03512314v1.0.doc,2019-04-06 00:26:44,2019-04-06 00:26:44,Therapeutic Use of Tadekinig Alfa in NLRC4 Mutation and XIAP Deficiency as Open Label Extension,70,
668,NCT03326843,Phase 3,Thrombocytopenia,0,,Protocol NCT03329092v1.0.doc,Statitical Analysis PlanNCT03329092v1.0.doc,2019-04-06 00:26:44,2019-04-06 00:26:44,"A Study to Determine the Efficacy, Safety and Tolerability of Aztreonam-Avibactam (ATM-AVI) ± Metronidazole (MTZ) Versus Meropenem (MER) ± Colistin (COL) for the Treatment of Serious Infections Due to Gram Negative Bacteria.",69,
667,NCT03329508,Phase 3,Parkinson Disease,0,,Protocol NCT03326843v1.0.doc,Statitical Analysis PlanNCT03326843v1.0.doc,2019-04-06 00:26:44,2019-04-06 00:26:44,Avatrombopag for the Treatment of Thrombocytopenia in Adults Scheduled for a Surgical Procedure,68,
666,NCT03334487,Phase 3,Small Cell Lung Cancer,0,,Protocol NCT03329508v1.0.doc,Statitical Analysis PlanNCT03329508v1.0.doc,2019-04-06 00:26:44,2019-04-06 00:26:44,A Phase 3 Study With P2B001 in Subjects With Early Parkinson's,67,
665,NCT03350542,Phase 3,Coronary Artery Disease,0,,Protocol NCT03334487v1.0.doc,Statitical Analysis PlanNCT03334487v1.0.doc,2019-04-06 00:26:44,2019-04-06 00:26:44,Study Evaluating the Safety of Rovalpituzumab Tesirine for Third-Line and Later Treatment of Subjects With Relapsed or Refractory Small Cell Lung Cancer,66,
664,NCT03336619,Phase 3,Influenza,0,,Protocol NCT03350542v1.0.doc,Statitical Analysis PlanNCT03350542v1.0.doc,2019-04-06 00:26:44,2019-04-06 00:26:44,A Clinical Trial to Assess the SYNERGY 48 mm Stent System for the Treatment of Atherosclerotic Lesion(s),65,
663,NCT03342898,Phase 3,Dengue,0,,Protocol NCT03336619v1.0.doc,Statitical Analysis PlanNCT03336619v1.0.doc,2019-04-06 00:26:44,2019-04-06 00:26:44,"A Phase III, Randomized, Double-Blind, Placebo Controlled Trial to Evaluate the Efficacy and Safety of Nitazoxanide in the Treatment of Uncomplicated Influenza",64,
662,NCT03340727,Phase 3,Apnea of Prematurity,0,,Protocol NCT03342898v1.0.doc,Statitical Analysis PlanNCT03342898v1.0.doc,2019-04-06 00:26:44,2019-04-06 00:26:44,Immunogenicity and Safety of Tetravalent Dengue Vaccine (TDV) Administered With a Yellow Fever Vaccine in Adults,63,
661,NCT03345914,Phase 3,"Dermatitis, Atopic",0,,Protocol NCT03340727v1.0.doc,Statitical Analysis PlanNCT03340727v1.0.doc,2019-04-06 00:26:44,2019-04-06 00:26:44,Moderately Preterm Infants With Caffeine at Home for Apnea (MoCHA) Trial,62,
660,NCT03345823,Phase 3,Crohn's Disease,1,,Protocol NCT03345914v1.0.doc,Statitical Analysis PlanNCT03345914v1.0.doc,2019-04-06 00:26:44,2019-04-06 00:26:44,Study to Investigate the Efficacy and Safety of Dupilumab Administered With Topical Corticosteroids (TCS) in Participants ≥6 to <12 Years With Severe Atopic Dermatitis (AD),61,
659,NCT03345901,Phase 3,Diabetic Retinopathy|Diabetic Macular Edema,0,,Protocol NCT03345823v1.0.doc,Statitical Analysis PlanNCT03345823v1.0.doc,2019-04-06 00:26:44,2019-04-06 00:26:44,A Maintenance and Long-Term Extension Study of the Efficacy and Safety of Upadacitinib (ABT-494) in Subjects With Crohn's Disease Who Completed the Studies M14-431 or M14-433,60,
658,NCT03417102,Phase 3,Hemophilia A|Hemophilia B,0,,Protocol NCT03345901v1.0.doc,Statitical Analysis PlanNCT03345901v1.0.doc,2019-04-06 00:26:44,2019-04-06 00:26:44,PROMINENT-Eye Ancillary Study (Protocol AD),59,
657,NCT03525574,Phase 3,Cystic Fibrosis,0,,Protocol NCT03417102v1.0.doc,Statitical Analysis PlanNCT03417102v1.0.doc,2019-04-06 00:26:44,2019-04-06 00:26:44,A Study of Fitusiran (ALN-AT3SC) in Severe Hemophilia A and B Patients With Inhibitors,58,
656,NCT03354273,Phase 3,Coronary Artery Disease (CAD),0,,Protocol NCT03525574v1.0.doc,Statitical Analysis PlanNCT03525574v1.0.doc,2019-04-06 00:26:44,2019-04-06 00:26:44,A Study Evaluating the Long-term Safety and Efficacy of VX-445 Combination Therapy,57,
655,NCT03526861,Phase 3,Atopic Dermatitis,0,,Protocol NCT03354273v1.0.doc,Statitical Analysis PlanNCT03354273v1.0.doc,2019-04-06 00:26:44,2019-04-06 00:26:44,An International Study to Evaluate Diagnostic Efficacy of Flurpiridaz (18F) Injection PET MPI in the Detection of Coronary Artery Disease (CAD),56,
654,NCT03353753,Phase 3,Gastrointestinal Stromal Tumors,0,,Protocol NCT03526861v1.0.doc,Statitical Analysis PlanNCT03526861v1.0.doc,2019-04-06 00:26:44,2019-04-06 00:26:44,Tralokinumab Monotherapy for Adolescent Subjects With Moderate to Severe Atopic Dermatitis - ECZTRA 6 (ECZema TRAlokinumab Trial no. 6).,55,
653,NCT03354598,Phase 3,Uncomplicated Urinary Tract Infections,0,,Protocol NCT03353753v1.0.doc,Statitical Analysis PlanNCT03353753v1.0.doc,2019-04-06 00:26:44,2019-04-06 00:26:44,Phase 3 Study of DCC-2618 vs Placebo in Advanced GIST Patients Who Have Been Treated With Prior Anticancer Therapies,54,
652,NCT03364491,Phase 3,Obstetrical Complications|Hemorrhage|Labor and Delivery,0,,Protocol NCT03354598v1.0.doc,Statitical Analysis PlanNCT03354598v1.0.doc,2019-04-06 00:26:44,2019-04-06 00:26:44,Oral Sulopenem-etzadroxil/Probenecid Versus Ciprofloxacin for Uncomplicated Urinary Tract Infection in Adult Women,53,
651,NCT03361501,Phase 3,Hypertriglyceridemia,0,,Protocol NCT03364491v1.0.doc,Statitical Analysis PlanNCT03364491v1.0.doc,2019-04-06 00:26:44,2019-04-06 00:26:44,Tranexamic Acid for the Prevention of Obstetrical Hemorrhage After Cesarean,52,
650,NCT03363854,Phase 3,Atopic Dermatitis,0,,Protocol NCT03361501v1.0.doc,Statitical Analysis PlanNCT03361501v1.0.doc,2019-04-06 00:26:44,2019-04-06 00:26:44,A Phase 3 STudy of CaPRe in LOwering Very hiGh TriglYcerides (TRILOGY 2),51,
649,NCT03363945,Phase 3,Kidney Transplant Rejection,0,,Protocol NCT03363854v1.0.doc,Statitical Analysis PlanNCT03363854v1.0.doc,2019-04-06 00:26:44,2019-04-06 00:26:44,Tralokinumab in Combination With Topical Corticosteroids for Moderate to Severe Atopic Dermatitis - ECZTRA 3 (ECZema TRAlokinumab Trial no. 3),50,
648,NCT03375320,Phase 3,Atypical Carcinoid Tumor|Carcinoid Tumor|Digestive System Neuroendocrine Neoplasm|Enterochromaffin Cell Serotonin-Producing Pancreatic Neuroendocrine Tumor|Functional Pancreatic Neuroendocrine Tumor|Intermediate Grade Lung Neuroendocrine Neoplasm|Low Grade Lung Neuroendocrine Neoplasm|Lung Atypical Carcinoid Tumor|Lung Carcinoid Tumor|Metastatic Digestive System Neuroendocrine Tumor G1|Neuroendocrine Neoplasm|Nonfunctional Pancreatic Neuroendocrine Tumor|Pancreatic Neuroendocrine Tumor|Stage IIIA Digestive System Neuroendocrine Tumor AJCC v7|Stage IIIB Digestive System Neuroendocrine Tumor AJCC v7|Stage IV Digestive System Neuroendocrine Tumor AJCC v7,0,,Protocol NCT03363945v1.0.doc,Statitical Analysis PlanNCT03363945v1.0.doc,2019-04-06 00:26:44,2019-04-06 00:26:44,"Cellular Immunotherapy in Recipients of HLA-matched, Living Donor Kidney Transplants",49,
647,NCT03376321,Phase 3,Influenza A,0,,Protocol NCT03375320v1.0.doc,Statitical Analysis PlanNCT03375320v1.0.doc,2019-04-06 00:26:43,2019-04-06 00:26:43,"Cabozantinib S-malate in Treating Patients With Neuroendocrine Tumors Previously Treated With Everolimus That Are Locally Advanced, Metastatic, or Cannot Be Removed by Surgery",48,
646,NCT03400033,Phase 3,Anaemia,0,,Protocol NCT03376321v1.0.doc,Statitical Analysis PlanNCT03376321v1.0.doc,2019-04-06 00:26:43,2019-04-06 00:26:43,"A Study to Evaluate the Efficacy and Safety of Pimodivir in Combination With the Standard-of-Care Treatment in Adolescent, Adult, and Elderly Hospitalized Participants With Influenza A Infection",47,
645,NCT03377803,Phase 3,Molluscum Contagiosum,0,,Protocol NCT03400033v1.0.doc,Statitical Analysis PlanNCT03400033v1.0.doc,2019-04-06 00:26:43,2019-04-06 00:26:43,Anemia Studies in Chronic Kidney Disease (CKD): Erythropoiesis Via a Novel Prolyl Hydroxylase Inhibitor (PHI) Daprodustat-Three-times Weekly Dosing in Dialysis (ASCEND-TD),46,
644,NCT03377491,Phase 3,Pancreas Adenocarcinoma,0,,Protocol NCT03377803v1.0.doc,Statitical Analysis PlanNCT03377803v1.0.doc,2019-04-06 00:26:43,2019-04-06 00:26:43,Cantharidin Application in Molluscum Patients,45,
643,NCT03377790,Phase 3,Molluscum Contagiosum,0,,Protocol NCT03377491v1.0.doc,Statitical Analysis PlanNCT03377491v1.0.doc,2019-04-06 00:26:43,2019-04-06 00:26:43,"Effect of Tumor Treating Fields (TTFields, 150 kHz) as Front-Line Treatment of Locally-advanced Pancreatic Adenocarcinoma Concomitant With Gemcitabine and Nab-paclitaxel (PANOVA-3)",44,
642,NCT03381196,Phase 3,Influenza A,0,,Protocol NCT03377790v1.0.doc,Statitical Analysis PlanNCT03377790v1.0.doc,2019-04-06 00:26:43,2019-04-06 00:26:43,Cantharidin Application in Molluscum Patients-1,43,
641,NCT03560466,Phase 3,Asthma,0,,Protocol NCT03381196v1.0.doc,Statitical Analysis PlanNCT03381196v1.0.doc,2019-04-06 00:26:43,2019-04-06 00:26:43,"A Study to Evaluate the Efficacy and Safety of Pimodivir in Combination With the Standard-of-Care Treatment in Adolescent, Adult, and Elderly Non-Hospitalized Participants With Influenza A Infection Who Are at Risk of Developing Complications",42,
640,NCT03386344,Phase 3,Type 2 Diabetes Mellitus,0,,Protocol NCT03560466v1.0.doc,Statitical Analysis PlanNCT03560466v1.0.doc,2019-04-06 00:26:43,2019-04-06 00:26:43,Assessment of the Safety and Efficacy of Dupilumab in Children With Asthma (Liberty Asthma Excursion),41,
639,NCT03386474,Phase 3,Neovascular Age-related Macular Degeneration,1,,Protocol NCT03386344v1.0.doc,Statitical Analysis PlanNCT03386344v1.0.doc,2019-04-06 00:26:43,2019-04-06 00:26:43,Efficacy and Bone Safety of Sotagliflozin Dose 1 and Dose 2 Versus Placebo in Subjects With Type 2 Diabetes Mellitus Who Have Inadequate Glycemic Control,40,
638,NCT03386539,Phase 3,Pediatric Heart Transplantation|Immunosuppression|Chronic Kidney Diseases|Cardiac Allograft Vasculopathy|Heart Transplant Failure and Rejection|Post-transplant Lymphoproliferative Disorder|Heart Transplant Infection,0,,Protocol NCT03386474v1.0.doc,Statitical Analysis PlanNCT03386474v1.0.doc,2019-04-06 00:26:43,2019-04-06 00:26:43,Study of Safety and Efficacy of Brolucizumab 6 mg Drug Product Intended for Commercialization in Patients With nAMD,39,
637,NCT03390504,Phase 3,Urothelial Cancer,0,,Protocol NCT03386539v1.0.doc,Statitical Analysis PlanNCT03386539v1.0.doc,2019-04-06 00:26:43,2019-04-06 00:26:43,Tacrolimus/Everolimus vs. Tacrolimus/MMF in Pediatric Heart Transplant Recipients Using the MATE Score,38,
636,NCT03393000,Phase 3,Glioblastoma,0,,Protocol NCT03390504v1.0.doc,Statitical Analysis PlanNCT03390504v1.0.doc,2019-04-06 00:26:43,2019-04-06 00:26:43,A Study of Erdafitinib Compared With Vinflunine or Docetaxel or Pembrolizumab in Participants With Advanced Urothelial Cancer and Selected Fibroblast Growth Factor Receptor (FGFR) Gene Aberrations,37,
635,NCT03392974,Phase 3,Hemophilia A,0,,Protocol NCT03393000v1.0.doc,Statitical Analysis PlanNCT03393000v1.0.doc,2019-04-06 00:26:43,2019-04-06 00:26:43,Safety and Efficacy Study of Trans Sodium Crocetinate (TSC) in Newly Diagnosed Glioblastoma (GBM) Biopsy-Only Subjects,36,
634,NCT03398005,Phase 3,Hypertriglyceridemia,0,,Protocol NCT03392974v1.0.doc,Statitical Analysis PlanNCT03392974v1.0.doc,2019-04-06 00:26:43,2019-04-06 00:26:43,Single-Arm Study To Evaluate The Efficacy and Safety of Valoctocogene Roxaparvovec in Hemophilia A Patients at a Dose of 4E13 vg/kg,35,
633,NCT03398135,Phase 3,Ulcerative Colitis (UC),1,,Protocol NCT03398005v1.0.doc,Statitical Analysis PlanNCT03398005v1.0.doc,2019-04-06 00:26:43,2019-04-06 00:26:43,A Phase 3 STudy of CaPRe In LOwering Very hiGh TriglYcerides (TRILOGY 1),34,
632,NCT03399604,Phase 3,Primary Pulmonary Hypertension,0,,Protocol NCT03398135v1.0.doc,Statitical Analysis PlanNCT03398135v1.0.doc,2019-04-06 00:26:43,2019-04-06 00:26:43,A Study to Assess the Efficacy and Safety of Risankizumab in Subjects With Ulcerative Colitis Who Responded to Induction Treatment in M16-067 or M16-065,33,
631,NCT03400943,Phase 3,Leiomyoma,0,,Protocol NCT03399604v1.0.doc,Statitical Analysis PlanNCT03399604v1.0.doc,2019-04-06 00:26:43,2019-04-06 00:26:43,Investigation of the Safety and Pharmacology of Dry Powder Inhalation of Treprostinil,32,
630,NCT03400956,Phase 3,Leiomyoma,0,,Protocol NCT03400943v1.0.doc,Statitical Analysis PlanNCT03400943v1.0.doc,2019-04-06 00:26:43,2019-04-06 00:26:43,Assess Safety and Efficacy of Vilaprisan in Subjects With Uterine Fibroids (ASTEROID 3),31,
629,NCT03401229,Phase 3,Nasal Polyposis,0,,Protocol NCT03400956v1.0.doc,Statitical Analysis PlanNCT03400956v1.0.doc,2019-04-06 00:26:43,2019-04-06 00:26:43,Assess Safety and Efficacy of Vilaprisan in Subjects With Uterine Fibroids (ASTEROID 4),30,
628,NCT03417245,Phase 3,Hemophilia A|Hemophilia B,0,,Protocol NCT03401229v1.0.doc,Statitical Analysis PlanNCT03401229v1.0.doc,2019-04-06 00:26:43,2019-04-06 00:26:43,Efficacy and Safety Study of Benralizumab for Patients With Severe Nasal Polyposis,29,
627,NCT03403712,Phase 3,Chemotherapy-induced Nausea and Vomiting,0,,Protocol NCT03417245v1.0.doc,Statitical Analysis PlanNCT03417245v1.0.doc,2019-04-06 00:26:43,2019-04-06 00:26:43,A Study of Fitusiran (ALN-AT3SC) in Severe Hemophilia A and B Patients Without Inhibitors,28,
626,NCT03404401,Phase 3,Colonoscopy,1,,Protocol NCT03403712v1.0.doc,Statitical Analysis PlanNCT03403712v1.0.doc,2019-04-06 00:26:43,2019-04-06 00:26:43,A Study to Assess the Safety and the Efficacy of IV Fosnetupitant/Palonosetron (260 mg/0.25 mg) Combination Compared to Oral Netupitant/Palonosetron (300 mg/0.5 mg) Combination for the Prevention of CINV in AC Chemotherapy in Women With Breast Cancer,27,
625,NCT03409614,Phase 3,Non-small Cell Lung Cancer,0,,Protocol NCT03404401v1.0.doc,Statitical Analysis PlanNCT03404401v1.0.doc,2019-04-06 00:26:43,2019-04-06 00:26:43,A Safety and Efficacy Comparison of BLI4700 Bowel Prep Versus an FDA-approved Comparator in Adults Prior to Colonoscopy,26,
624,NCT03406156,Phase 3,Chronic Lymphocytic Leukemia (CLL)|Small Lymphocytic Lymphoma (SLL),0,,Protocol NCT03409614v1.0.doc,Statitical Analysis PlanNCT03409614v1.0.doc,2019-04-06 00:26:43,2019-04-06 00:26:43,"REGN2810 (Anti-PD-1 Antibody), Ipilimumab (Anti-CTLA-4 Antibody), and Platinum-based Doublet Chemotherapy in Patients With Lung Cancer",25,
623,NCT03406078,Phase 3,Asthma,0,,Protocol NCT03406156v1.0.doc,Statitical Analysis PlanNCT03406156v1.0.doc,2019-04-06 00:26:43,2019-04-06 00:26:43,"A Study in Previously Untreated Chronic Lymphocytic Leukemia (CLL) Subjects, Excluding Those With the 17p Deletion, to Evaluate Debulking Regimens Prior to Initiating Venetoclax Combination Therapy",24,
622,NCT03587116,Phase 3,Hemophilia B,0,,Protocol NCT03406078v1.0.doc,Statitical Analysis PlanNCT03406078v1.0.doc,2019-04-06 00:26:43,2019-04-06 00:26:43,Study to Evaluate the Efficacy and Safety of Tezepelumab in Reducing Oral Corticosteroid Use in Adults With Oral Corticosteroid Dependent Asthma,23,
621,NCT03409107,Phase 3,Anaemia,0,,Protocol NCT03587116v1.0.doc,Statitical Analysis PlanNCT03587116v1.0.doc,2019-04-06 00:26:43,2019-04-06 00:26:43,Six Month lead-in Study to Evaluate Prospective Efficacy and Safety Data of Current FIX Prophylaxis Replacement Therapy in Adult Hemophilia B Subjects (FIX:C≤2%),22,
620,NCT03410992,Phase 3,Chronic Plaque Psoriasis|Moderate to Severe Chronic Plaque Psoriasis|Psoriatic Arthritis,0,,Protocol NCT03409107v1.0.doc,Statitical Analysis PlanNCT03409107v1.0.doc,2019-04-06 00:26:43,2019-04-06 00:26:43,Anemia Studies in Chronic Kidney Disease (CKD): Erythropoiesis Via a Novel Prolyl Hydroxylase Inhibitor (PHI) Daprodustat in Non-Dialysis Subjects Evaluating Hemoglobin (Hgb) and Quality of Life (ASCEND-NHQ),21,
619,NCT03412747,Phase 3,Chronic Plaque Psoriasis|Moderate to Severe Plaque Psoriasis,1,,Protocol NCT03410992v1.0.doc,Statitical Analysis PlanNCT03410992v1.0.doc,2019-04-06 00:26:43,2019-04-06 00:26:43,A Study With a Initial Treatment Period Followed by a Randomized-withdrawal Period to Evaluate the Efficacy and Safety of Bimekizumab in Adult Subjects With Moderate to Severe Chronic Plaque Psoriasis,20,
